"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","AGE","SEX","RACE","MARST","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,6641,0,20500,0,842,50,2,100,1,0,2,99,99,1,2,3,7,1
2012,31,37,56,2,6641,0,20500,0,842,11,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,842,16,2,100,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,842,16,2,100,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,32,1,100,6,0,2,99,99,1,2,7,6,1
2012,31,37,56,2,1521,0,16740,0,720,72,2,100,4,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,0,16740,0,720,41,1,100,6,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,0,16740,0,720,85,2,100,1,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,0,16740,0,720,85,1,100,1,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,37119,16740,1,710,44,2,100,1,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,45,1,100,1,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,43,2,100,1,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,50,1,100,1,410,2,99,99,1,2,97,2,2
2012,31,37,56,2,1521,37119,16740,1,830,23,2,100,6,0,1,11,99,99,99,1,2,1
2012,31,37,56,2,1521,37119,16740,1,830,0,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,500,37,2,200,3,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,37119,16740,1,500,14,2,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,56,2,100,1,0,2,99,99,1,1,97,7,2
2012,31,37,56,2,6642,37183,39580,0,843,58,1,100,1,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,1521,37119,16740,1,820,33,2,200,1,0,0,99,1,99,99,99,2,1
2012,31,37,56,2,1521,37119,16740,1,820,35,1,200,1,0,0,99,1,99,99,99,2,2
2012,31,37,56,2,3122,0,24660,0,600,28,2,200,6,0,2,99,99,1,1,4,5,1
2012,31,37,56,2,3122,0,24660,0,600,25,2,200,6,0,2,99,99,1,1,1,5,2
2012,31,37,56,2,6641,0,20500,0,720,24,2,100,6,0,2,99,99,1,2,3,5,2
2012,31,37,56,2,6641,0,20500,0,720,24,2,100,6,100,2,99,99,1,1,1,5,1
2012,31,37,56,2,6641,0,20500,0,720,24,2,100,6,0,2,99,99,1,2,1,5,2
2012,31,37,56,2,3122,0,24660,0,430,56,1,200,3,0,1,4,99,99,99,1,7,1
2012,31,37,56,2,6642,37183,39580,0,710,30,1,651,6,0,0,99,3,99,99,99,5,1
2012,31,37,56,2,6642,37183,39580,0,830,57,2,100,4,0,2,99,99,1,2,3,5,1
2012,31,37,56,2,2560,0,22180,0,843,60,1,100,1,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,2560,0,22180,0,843,41,2,100,1,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,2560,0,22180,0,843,8,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,843,11,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,85,2,100,5,0,2,99,99,2,2,97,7,1
2012,31,37,56,2,1521,37119,16740,1,843,34,2,100,1,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,1521,37119,16740,1,843,35,1,100,1,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,843,2,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,843,5,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,46,2,200,4,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,6642,37183,39580,0,740,7,2,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,10,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,19,1,200,6,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,842,44,1,200,1,0,2,99,99,1,1,3,5,2
2012,31,37,56,2,1521,37119,16740,1,842,41,2,200,1,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,1521,37119,16740,1,842,14,2,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,842,16,1,200,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,842,21,1,200,6,0,2,99,99,1,2,3,5,2
2012,31,37,56,2,3122,0,24660,0,710,34,2,200,1,0,2,99,99,1,1,2,5,1
2012,31,37,56,2,3122,0,24660,0,710,40,1,200,1,0,0,99,6,99,99,99,2,1
2012,31,37,56,2,6642,37183,39580,0,841,35,1,200,1,0,1,4,99,99,99,3,7,1
2012,31,37,56,2,6642,37183,39580,0,841,33,2,200,1,0,2,99,99,2,1,3,7,2
2012,31,37,56,2,6642,37183,39580,0,841,6,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,841,10,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,710,69,1,200,3,0,2,99,99,1,1,5,7,1
