"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,6642,37183,39580,0,430,1,4557.1361,21,2,100,6,3,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,740,1,3878.3955,47,1,200,1,0,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,3122,0,24660,0,740,2,4122.4129,46,2,200,1,0,0,2,99,99,1,1,4,7,2
2012,31,37,56,2,3122,0,24660,0,740,3,4399.9444,17,2,200,6,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,500,1,3094.046,71,1,200,3,0,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,1521,37119,16740,1,841,1,3293.3072,42,2,300,1,0,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,1521,37119,16740,1,841,2,3016.2424,44,1,100,1,0,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,1521,37119,16740,1,841,3,5092.4799,3,1,802,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,841,4,6103.1879,8,2,802,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,1,3108.496,40,2,200,6,0,0,2,99,99,1,2,3,7,1
2012,31,37,56,2,6642,37183,39580,0,841,1,3204.2502,29,1,100,6,1,0,2,99,99,1,1,1,2,1
2012,31,37,56,2,6642,37183,39580,0,841,2,3204.2502,28,1,100,6,0,0,2,99,99,1,1,1,2,2
2012,31,37,56,2,6641,0,20500,0,841,1,3696.3564,33,2,100,6,0,0,2,99,99,1,2,6,5,1
2012,31,37,56,2,6641,0,20500,0,841,2,4444.7984,5,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,300,1,4033.5914,25,2,200,6,0,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,6642,37183,39580,0,300,2,3640.1851,5,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,470,1,3156.7621,60,1,100,4,1,100,2,99,99,1,2,7,5,1
2012,31,37,56,2,6641,0,20500,0,842,1,3946.6898,49,2,651,1,2,0,2,99,99,1,2,9,5,1
2012,31,37,56,2,6641,0,20500,0,842,2,3517.0176,52,1,651,1,2,0,2,99,99,1,2,9,5,2
2012,31,37,56,2,3122,0,24660,0,430,1,2979.7912,63,2,100,4,0,0,2,99,99,1,1,97,5,1
2012,31,37,56,2,6642,37183,39580,0,843,1,2688.1701,42,1,100,1,0,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,6642,37183,39580,0,843,2,3369.529,43,2,100,1,0,0,2,99,99,1,1,97,7,2
2012,31,37,56,2,6642,37183,39580,0,843,3,3105.616,8,2,100,9,0,0,99,99,99,99,99,99,99,9
